sample_idx,feature,importance,rank
39755,sensor_73_max,16.795557022094727,3
39755,sensor_71_avg,16.230159759521484,4
39755,sensor_72_avg,16.206754684448242,5
39755,sensor_73_avg,16.19618034362793,6
39755,sensor_71_min,15.629323959350586,7
39755,sensor_73_min,14.87354850769043,8
39755,sensor_72_min,13.85909652709961,9
39755,wind_speed_236_std_roll6_std,11.219833374023438,10
39755,reactive_power_121_std_roll6_std,8.684148788452148,11
39755,reactive_power_121_std_roll6_mean,8.438569068908691,12
39755,reactive_power_119_std_roll6_std,7.618136405944824,13
39755,reactive_power_122_max_roll6_std,7.59570837020874,14
39755,reactive_power_122_std_roll6_std,7.221256256103516,15
39770,sensor_73_max,16.515777587890625,1
39770,sensor_71_max,16.513599395751953,2
39770,sensor_72_max,16.5047550201416,3
39770,sensor_72_avg,15.929769515991211,4
39770,sensor_73_avg,15.911348342895508,5
39770,sensor_71_avg,15.886603355407715,6
39770,sensor_71_min,15.393289566040039,7
39770,sensor_73_min,14.655878067016602,8
39770,sensor_72_min,13.685786247253418,9
39770,wind_speed_236_min_roll6_std,7.443672180175781,10
39770,sensor_230_max,6.81881856918335,11
39770,sensor_35_max,6.637497901916504,12
39770,sensor_230_avg,6.51177978515625,13
39770,sensor_42_min,6.091900825500488,14
39770,sensor_230_min,6.041638374328613,15
39771,sensor_73_max,16.529560089111328,1
39771,sensor_71_max,16.526775360107422,2
39771,sensor_72_max,16.520849227905273,3
39771,sensor_72_avg,15.940617561340332,4
39771,sensor_73_avg,15.923954963684082,5
39771,sensor_71_avg,15.90066146850586,6
39771,sensor_71_min,15.400430679321289,7
39771,sensor_73_min,14.663487434387207,8
39771,sensor_72_min,13.69064998626709,9
39771,wind_speed_236_min_roll6_std,8.411128044128418,10
39771,wind_speed_236_avg_roll6_std,7.711783409118652,11
39771,wind_speed_236_max_roll6_std,7.571918964385986,12
39771,sensor_230_max,6.82119607925415,13
39771,sensor_35_max,6.641578197479248,14
39771,sensor_230_avg,6.518343925476074,15
39892,sensor_73_max,16.601776123046875,1
39892,sensor_71_max,16.590211868286133,2
39892,sensor_72_max,16.58658218383789,3
39892,sensor_72_avg,16.02959632873535,4
39892,sensor_73_avg,15.999994277954102,5
39892,sensor_71_avg,15.979212760925293,6
39892,sensor_71_min,15.443471908569336,7
39892,sensor_73_min,14.699108123779297,8
39892,sensor_72_min,13.713850021362305,9
39892,sensor_230_std,13.460543632507324,10
39892,reactive_power_121_std,12.220985412597656,11
39892,sensor_150_max,8.16664981842041,12
39892,sensor_148_max,8.136963844299316,13
39892,sensor_35_max,7.311989784240723,14
39892,sensor_149_max,7.053093433380127,15
39893,sensor_40_min,17.472896575927734,1
39893,sensor_61_min,17.467674255371094,2
39893,sensor_212_min,14.868492126464844,3
39893,sensor_213_min,14.62834358215332,4
39893,sensor_230_std,13.65079402923584,5
39893,sensor_60_min,13.518574714660645,6
39893,sensor_59_min,13.492132186889648,7
39893,sensor_58_min,13.485668182373047,8
39893,sensor_47_min,13.070074081420898,9
39893,sensor_218_min,12.640070915222168,10
39893,sensor_141_min,12.570318222045898,11
39893,sensor_139_min,12.552655220031738,12
39893,reactive_power_121_std,12.538238525390625,13
39893,sensor_140_min,12.476462364196777,14
39893,sensor_36_min,9.332228660583496,15
39895,sensor_73_max,16.57872200012207,1
39895,sensor_72_max,16.573131561279297,2
39895,sensor_71_max,16.572370529174805,3
39895,sensor_72_avg,15.996667861938477,4
39895,sensor_73_avg,15.971555709838867,5
39895,sensor_71_avg,15.96115779876709,6
39895,sensor_71_min,15.425537109375,7
39895,sensor_73_min,14.690324783325195,8
39895,sensor_72_min,13.707036018371582,9
39895,reactive_power_121_std_roll6_std,10.519462585449219,10
39895,reactive_power_121_std_roll6_mean,10.143281936645508,11
39895,sensor_230_max,6.824939727783203,12
39895,sensor_35_max,6.662713050842285,13
39895,sensor_230_avg,6.536332130432129,14
39895,sensor_42_min,6.400687217712402,15
39896,reactive_power_121_std_roll6_mean,20.339536666870117,1
39896,sensor_73_max,16.541719436645508,2
39896,sensor_71_max,16.53278350830078,3
39896,sensor_72_max,16.5271053314209,4
39896,sensor_72_avg,15.958122253417969,5
39896,sensor_73_avg,15.934124946594238,6
39896,sensor_71_avg,15.912337303161621,7
39896,sensor_71_min,15.399140357971191,8
39896,sensor_73_min,14.663253784179688,9
39896,sensor_72_min,13.680919647216797,10
39896,sensor_230_max,6.874499797821045,11
39896,sensor_35_max,6.704453945159912,12
39896,sensor_230_avg,6.571140289306641,13
39896,sensor_42_min,6.405479431152344,14
39896,wind_speed_237_min_roll6_std,6.179133892059326,15
39897,reactive_power_121_std_roll6_mean,20.526975631713867,1
39897,sensor_61_min,16.475122451782227,2
39897,sensor_40_min,16.459070205688477,3
39897,sensor_212_min,14.761185646057129,4
39897,sensor_213_min,13.85216236114502,5
39897,sensor_218_min,12.892838478088379,6
39897,sensor_59_min,12.53863525390625,7
39897,sensor_60_min,12.536734580993652,8
39897,sensor_58_min,12.51823902130127,9
39897,sensor_47_min,12.090275764465332,10
39897,sensor_139_min,11.724807739257812,11
39897,sensor_141_min,11.70949649810791,12
39897,sensor_140_min,11.647830963134766,13
39897,sensor_38_min,9.859079360961914,14
39897,sensor_36_min,9.80551528930664,15
39901,sensor_40_min,15.428378105163574,1
39901,sensor_61_min,15.42772388458252,2
39901,sensor_212_min,13.725127220153809,3
39901,sensor_212_avg,13.555415153503418,4
39901,sensor_212_max,13.526557922363281,5
39901,sensor_213_min,13.245410919189453,6
39901,sensor_60_min,12.04883098602295,7
39901,sensor_58_min,12.036249160766602,8
39901,sensor_59_min,11.996591567993164,9
39901,sensor_218_min,11.993060111999512,10
39901,sensor_47_min,11.708643913269043,11
39901,sensor_141_min,11.268250465393066,12
39901,sensor_139_min,11.253634452819824,13
39901,sensor_140_min,11.213447570800781,14
39901,wind_speed_236_std_roll6_std,10.366151809692383,15
39902,sensor_73_max,16.571535110473633,1
39902,sensor_71_max,16.56629180908203,2
39902,sensor_72_max,16.55278778076172,3
39902,sensor_72_avg,15.989123344421387,4
39902,sensor_73_avg,15.968031883239746,5
39902,sensor_71_avg,15.939753532409668,6
39902,sensor_71_min,15.440933227539062,7
39902,sensor_73_min,14.703028678894043,8
39902,sensor_72_min,13.720078468322754,9
39902,wind_speed_236_std_roll6_std,9.98568344116211,10
39902,sensor_230_std,9.26602840423584,11
39902,sensor_230_max,6.976211071014404,12
39902,sensor_35_max,6.691117286682129,13
39902,sensor_42_min,6.404114723205566,14
39902,sensor_230_min,6.074596881866455,15
